Plug V. Flanged A216-WCB Post Weld Heat Treatment - - 300 RF PLUG Monel/Soft Sleeve	AC
TUBO; AC; API 5L GR B PSL1; C/C; PC; POLIET; B36.10	AC
FLANGE DE PESCOCO AC A105 FR PC B16.5 600LB Sch 80	AC
TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10	AC
REDUCAO CONCENTRICA AC A234 GR WPB S/C PC B16.9 Sch 80 x Sch 80	AC
CURVA 90 AC A234 GR WPB PC S/C B16.9 Sch 80	AC
VALVULA DE RETENCAO AC A216 GR WCB PORTINHOLA NORMAL PC BS 1868 600LB Sch 80	AC
VALVULA GAVETA AC A216 GR WCB PC ISO 10434 ENGR 600LB Sch 80	AC
FLANGE DE PESCOCO AI A182 GR F304 FR PC B16.5 300LB Sch 40S	AI
REDUCAO CONCENTRICA AI A403 GR WP304 S/C PC B16.9 Sch 40S x Sch 40S	AI
TUBO; AI; A312 GR TP304; C/C; PC; B36.19	AI
CURVA 90 AI A403 GR WP304 PC S/C B16.9 Sch 40S	AI
VALVULA DE RETENCAO AI A351 GR CF8M PORTINHOLA NORMAL FLG FR B16.34 / MSS SP-134 300LB	AI
VALVULA GAVETA AI A351 GR CF8M FLG FR ISO 10434 VOL. 300LB	AI
TE RETO ST AI A403 GR WP304 PC S/C B16.9 Sch 40S	AI
REDUCAO EXCENTRICA AI A403 GR WP304 S/C PC B16.9 Sch 40S x Sch 40S	AI
FLANGE DE PESCOCO AC A350 LF2 CL 1 FR PC B16.5 150LB Sch 40	AL
CURVA 90 AC A420 GR WPL6 PC S/C B16.9 Sch 40	AC
TUBO METÁLICO; AC; A333 GR 6; S/C; PL; B36.10	AL
FLANGE DE PESCOCO AC A350 LF2 CL 1 FR PC B16.5 300LB Sch 80	AL
VALVULA GLOBO AC A352 GR LCB BS 1873 FLG FR VOL. 300LB	AL
CURVA 90 AC A420 GR WPL6 PC S/C B16.9 Sch 80	AC
VALVULA GAVETA AC A352 GR LCB FLG FR ISO 10434 VOL. 300LB	AL
VALVULA GAVETA AC A216 GR WCB PC ISO 10434 VOL. 600LB Sch 80	AC
TE DE REDUCAO ST AC A234 GR WPB S/C PC B16.9 Sch 80 x Sch 80	AC
CURVA 90 AC A234 GR WPB PC S/C B16.9 Sch 40	AC
FLANGE DE PESCOCO AC A105-N NORMAL. FR PC B16.5 300LB Sch 40	AC
CURVA 45 AC A234 GR WPB PC S/C B16.9 Sch 40	AC
REDUCAO CONCENTRICA AC A234 GR WPB S/C PC B16.9 Sch 40 x Sch 40	AC
VALVULA GAVETA AC A216 GR WCB FLG FR ISO 10434 ENGR 300LB	AC
TE RETO ST AC A234 GR WPB PC S/C B16.9 Sch 40	AC
VALVULA DE RETENCAO AC A216 GR WCB PORTINHOLA NORMAL FLG FR BS 1868 300LB	AC
TUBO METÁLICO; AC; A333 GR 6; S/C; PC; B36.10	AL
VALVULA DE RETENCAO AC A352 GR LCB PORTINHOLA NORMAL FLG FR BS 1868 150LB	AL
FLANGE DE PESCOCO AC A105-N NORMAL. FR PC B16.5 150LB Sch 40	AC
REDUCAO EXCENTRICA AC A234 GR WPB S/C PC B16.9 Sch 40 x Sch 40	AC
FLANGE DE PESCOCO AC A105 FR PC B16.5 150LB Sch 40	AC
VALVULA GAVETA AC A216 GR WCB FLG FR ISO 10434 VOL. 150LB	AC
VALVULA DE RETENCAO AC A216 GR WCB PORTINHOLA NORMAL FLG FR BS 1868 150LB	AC
TUBO METÁLICO; AC; A106 GR B; S/C; PL; B36.10	AC
FLANGE DE PESCOCO AC A105 FR PC B16.5 150LB Sch 80	AC
FLANGE CEGO AC A105 FR B16.5 150LB	AC
CURVA 90 AC A234 GR WPB PC S/C B16.9 Sch 20	AC
FLANGE DE PESCOCO AC A105 FR PC B16.5 150LB Sch 20	AC
FLANGE DE PESCOCO AC A350 LF2 CL 1 FR PC B16.5 300LB Sch 40	AL
FLANGE DE PESCOCO AC A350 LF2 CL 1 FR PC B16.5 300LB Sch 30	AL
REDUCAO EXCENTRICA AC A420 GR WPL6 S/C PC B16.9 Sch 30 x Sch 30	AC
CURVA 90 AC A420 GR WPL6 PC S/C B16.9 Sch 30	AC
REDUCAO CONCENTRICA AC A234 GR WPB C/C PC B16.9 Sch 30 x Sch 40	AC
CURVA 90 AC A234 GR WPB PC C/C B16.9 Sch 30	AC
TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10	AC
TE DE REDUCAO ST AC A234 GR WPB C/C PC B16.9 Sch 30 x STD	AC
FLANGE DE PESCOCO AC A105 FR PC B16.5 150LB Sch 30	AC
VALVULA GAVETA AC A216 GR WCB FLG FR ISO 10434 ENGR 150LB	AC
REDUCAO EXCENTRICA AC A234 GR WPB S/C PC B16.9 Sch 30 x Sch 40	AC
CURVA 90 AC A234 GR WPB PC S/C B16.9 Sch 30	AC
FLANGE DE PESCOCO AC A105-N NORMAL. FR PC B16.5 300LB Sch 30	AC
FLANGE DE PESCOCO AC A105-N NORMAL. FR PC B16.5 300LB XS	AC
REDUCAO EXCENTRICA AC A234 GR WPB C/C PC B16.9 XS x Sch 30	AC
CURVA 90 AC A234 GR WPB PC C/C B16.9 Sch 10	AC
REDUCAO CONCENTRICA AC A234 GR WPB C/C PC B16.9 Sch 10 x Sch 10	AC
FLANGE DE PESCOCO AC A105-N NORMAL. FR PC B16.5 150LB Sch 10	AC
CURVA 45 AC A420 GR WPL6 PC S/C B16.9 Sch 40	AC
